|Unnamed: 0.2|Unnamed: 0.1|Unnamed: 0|name|id|year|year2|platform|img|gameCount|rarity
0|535|535|535|Sesame Street Crayon: Numbers Count|4716.0||1987.0|AMI, APL2, C64|https://www.giantbomb.com/a/uploads/original/16/160705/2267289-sscnc.jpg|3001|silver
1|970|970|970|Sesame Street Crayon: Opposites Attract|8838.0|1987.0||AMI, APL2, C64, PC|https://www.giantbomb.com/a/uploads/original/16/164924/3097126-8470286162-64312.jpg|3001|silver
2|3616|3616|3616|Sesame Street|30497.0||1994.0|PICO|https://www.giantbomb.com/a/uploads/original/16/160705/2267286-sesamestreetboxart.jpg|55|rainbow
3|6117|6117|6117|Sesame Street Crayon: Letters For You|11943.0||1986.0|APL2, C64|https://www.giantbomb.com/a/uploads/original/16/160705/2267290-ssclfy.jpg|3001|silver
4|7286|7286|7286|Sesame Street Letter-Go-Round|81955.0|1984.0||C64, NES, PC|https://www.giantbomb.com/a/uploads/original/12/126310/3276220-4877837188-Sesam.jpg|3001|silver
5|21285|21285|21285|Sesame Street: Once Upon a Monster|34156.0||2011.0|X360, XBGS|https://www.giantbomb.com/a/uploads/original/3/30529/1821882-ouam.jpg|1649|silver
6|21414|21414|21414|Kinect Sesame Street TV|37198.0||2012.0|X360, XBGS|https://www.giantbomb.com/a/uploads/original/8/87790/2333755-box_ktvss.png|1649|silver
7|21804|21804|21804|Sesame Street 1 2 3/A B C|8687.0|1991.0||NES|https://www.giantbomb.com/a/uploads/original/0/3413/236052-sesame_street_abc___123.jpg|1525|silver
8|22010|22010|22010|Sesame Street A B C|16590.0||1989.0|NES|https://www.giantbomb.com/a/uploads/original/1/14206/1175544-ss.jpg|1525|silver
9|22120|22120|22120|Sesame Street: Countdown|21926.0||1992.0|NES|https://www.giantbomb.com/a/uploads/original/0/6677/253154-countdown.jpg|1525|silver
10|22377|22377|22377|Sesame Street 1 2 3|40563.0|1989.0||NES|https://www.giantbomb.com/a/uploads/original/9/93770/2366252-sesame_street_123_copy.jpg|1525|silver
11|24142|24142|24142|Sesame Street Sports|29509.0||2001.0|PS1, GBC|https://www.giantbomb.com/a/uploads/original/3/39162/1225035-sesspo.jpg|2916|silver
12|25548|25548|25548|A Visit to Sesame Street: Numbers|57148.0|1992.0||3DO, CDI, PC|https://www.giantbomb.com/a/uploads/original/16/164924/2902328-8938778343-latest|1000|silver
13|25604|25604|25604|A Visit to Sesame Street: Letters|30617.0||1992.0|CDI, PC|https://www.giantbomb.com/a/uploads/original/0/6384/1320844-sesamestreetletters.jpg|1000|silver
14|27672|27672|27672|Sesame Street: Cookie's Counting Carnival|31991.0||2010.0|Wii|https://www.giantbomb.com/a/uploads/original/1/14163/1421728-ss.jpg|1562|silver
15|27724|27724|27724|Sesame Street: Elmo's A-to-Zoo Adventure|34520.0||2010.0|Wii, DS, PC|https://www.giantbomb.com/a/uploads/original/16/164924/2860853-5491358750-15715.jpg|2670|silver
16|27840|27840|27840|Sesame Street: Elmo's Musical Monsterpiece|51866.0||2012.0|Wii, DS|https://www.giantbomb.com/a/uploads/original/30/302687/2805506-elmo%20musical%20monsterpiece.jpg|2670|silver
17|27892|27892|27892|Sesame Street: Ready, Set, Grover!|79982.0||2011.0|Wii, DS|https://www.giantbomb.com/a/uploads/original/46/462814/3229725-5281222410-51aPQ.jpg|2670|silver
18|32813|32813|32813|Sesame Street: Elmo's 123s|89073.0|1999.0||GBC|https://www.giantbomb.com/a/uploads/original/10/103881/3467017-41331_front.jpg|772|gold
19|32814|32814|32814|Sesame Street: Elmo's ABCs|89074.0|1999.0||GBC|https://www.giantbomb.com/a/uploads/original/10/103881/3467018-75250_front.jpg|772|gold
20|33156|33156|33156|Sesame Street: Counting Cafe|29899.0||1994.0|GEN|https://www.giantbomb.com/a/uploads/original/9/93770/1794821-sesame_street.jpg|986|gold
21|33796|33796|33796|Sesame Street: Bert & Ernie's Imagination Adventure|24259.0||2005.0|VSML|https://www.giantbomb.com/a/uploads/original/1/14761/773754-bert_and_ernie_cartridge_web2.jpg|37|rainbow
22|32603|32603|32603|Blue's Clues: Blue's Alphabet Book|36429.0||2001.0|GBC|https://www.giantbomb.com/a/uploads/original/10/103881/1893988-bc.jpg|772|gold
23|33798|33798|33798|Blue's Clues Collection Day|24261.0|||VSML|https://www.giantbomb.com/a/uploads/original/1/14761/773784-blue_clues_cartridge_web2.jpg|37|rainbow
24|18777|18777|18777|Rugrats: Royal Ransom|16119.0||2002.0|PS2, GCN|https://www.giantbomb.com/a/uploads/original/8/87790/2996081-box_rrrr.png|3534|silver
25|23144|23144|23144|Rugrats in Paris|8046.0||2000.0|PS1, N64, GBC, PC|https://www.giantbomb.com/a/uploads/original/8/87790/2285685-box_riptm.png|2916|silver
26|23718|23718|23718|Rugrats: Search for Reptar|18043.0||1998.0|PS1|https://www.giantbomb.com/a/uploads/original/8/87790/2996083-box_rrsfr.png|2916|silver
27|24167|24167|24167|Rugrats Studio Tour|30454.0||1999.0|PS1|https://www.giantbomb.com/a/uploads/original/8/87790/2996085-box_rrst.png|2916|silver
28|24338|24338|24338|Rugrats: Totally Angelica|35650.0||2000.0|PS1, GBC|https://www.giantbomb.com/a/uploads/original/8/87790/2996086-box_rrta.png|2916|silver
29|26143|26143|26143|The Rugrats Movie|37418.0|1998.0||GB, GBC|https://www.giantbomb.com/a/uploads/original/8/87790/2996082-box_trm.png|952|gold
30|28379|28379|28379|Rugrats Go Wild|7613.0||2003.0|GBA, PC|https://www.giantbomb.com/a/uploads/original/0/4859/536248-1667_1.jpg|1396|silver
31|28554|28554|28554|Rugrats: I Gotta Go Party|18124.0||2002.0|GBA|https://www.giantbomb.com/a/uploads/original/8/87790/2996080-box_rriggp.png|1396|silver
32|28761|28761|28761|Rugrats: Castle Capers|35641.0||2001.0|GBA|https://www.giantbomb.com/a/uploads/original/8/87790/2996079-box_rrcc.png|1396|silver
33|28969|28969|28969|2 Games In 1: SpongeBob SquarePants: SuperSponge + Rugrats Go Wild|58030.0||2005.0|GBA|https://www.giantbomb.com/a/uploads/original/10/103881/2916867-2%20games%20in%201%20spongebob%20squarepants%20supersponge%20%2B%20rugrats%20go%20wild.jpg|1396|silver
34|28973|28973|28973|3 Games in 1: Tak and the Power of Juju / SpongeBob SquarePants: SuperSponge / Rugrats: I Gotta Go Party|58071.0||2005.0|GBA|https://www.giantbomb.com/a/uploads/original/10/103881/2917436-3%20in%201%20-%20rugrats%2C%20spongebob%2C%20tak.jpg|1396|silver
35|30080|30080|30080|Rugrats: Scavenger Hunt|21658.0||1999.0|N64|https://www.giantbomb.com/a/uploads/original/8/87790/2996084-box_rrsh.png|396|gold
36|19461|19461|19461|Dora the Explorer: Dora Saves the Snow Princess|24326.0||2008.0|PS2, Wii, DS, PS3N|https://www.giantbomb.com/a/uploads/original/1/11423/775262-dorasavessnow2.jpg|3534|silver
37|19751|19751|19751|Dora the Explorer: Dora Saves the Crystal Kingdom|29135.0||2009.0|PS2, Wii, PS3N|https://www.giantbomb.com/a/uploads/original/0/9039/1183929-dorawii.jpg|3534|silver
38|20025|20025|20025|Dora the Explorer: Dora Saves the Mermaids|36954.0||2007.0|PS2, DS, PS3N|https://www.giantbomb.com/a/uploads/original/14/145710/2069738-dora_saves_the_mermaids_ps2_2.jpg|3534|silver
39|20298|20298|20298|Dora the Explorer: Journey to the Purple Planet|52265.0||2005.0|PS2, GCN|https://www.giantbomb.com/a/uploads/original/10/103881/2814240-dora%20the%20explorer%20journey%20to%20the%20purple%20planet%20cover%20front%20us.jpg|3534|silver
40|23801|23801|23801|Dora the Explorer: Barnyard Buddies|19565.0||2003.0|PS1|https://www.giantbomb.com/a/uploads/original/0/5768/625462-dorabarnyardbuddies.jpg|2916|silver
41|28825|28825|28825|Dora the Explorer: Super Spies|41511.0||2004.0|GBA|https://www.giantbomb.com/a/uploads/original/0/7489/2428373-dora.jpg|1396|silver
42|28830|28830|28830|Dora the Explorer: Search for the Pirate Pig's Treasure|41965.0||2002.0|GBA|https://www.giantbomb.com/a/uploads/original/0/7489/2456233-0250501932-71042.JPG|1396|silver
43|28831|28831|28831|Dora the Explorer: Super Star Adventures!|41975.0||2004.0|GBA|https://www.giantbomb.com/a/uploads/original/0/7489/2456234-9865800274-92444.jpg|1396|silver
44|28979|28979|28979|2 in 1 - Dora the Explorer: Pirate Pig's Treasure & Dora the Explorer: Super Star Adventures|58329.0||2007.0|GBA|https://www.giantbomb.com/a/uploads/original/10/103881/2919705-2in1.jpg|1396|silver
45|33799|33799|33799|Dora the Explorer: Dora's Fix-it Adventure|24262.0||2006.0|VSML|https://www.giantbomb.com/a/uploads/original/1/14761/773785-dora_cartridge_web2.jpg|37|rainbow
46|35900|35900|35900|Dora the Explorer Wildlife Rescue|26050.0||2005.0|LEAP|https://www.giantbomb.com/a/uploads/original/0/4647/962853-leapsterdora.jpg|50|rainbow
47|35908|35908|35908|Dora the Explorer|26058.0||2005.0|LEAP|https://www.giantbomb.com/a/uploads/original/0/4647/962825-leapster9.jpg|50|rainbow
48|24144|24144|24144|Play with the Teletubbies|29581.0||2000.0|PS1, PC|https://www.giantbomb.com/a/uploads/original/0/4647/1229011-68ae_32.jpg|2916|silver
49|11270|11270|11270|My Little Pony: A Maretime Bay Adventure|85642.0||2022.0|PC, XONE, PS4, NSW, STAD|https://www.giantbomb.com/a/uploads/original/0/1992/3374530-screenshot2022-05-19at10.23.09pm.png|6126|silver
50|17657|17657|17657|My Little Pony: Friendship is Magic|79727.0|2013.0||LEXP, LPAD|https://www.giantbomb.com/a/uploads/original/46/462814/3219654-0242382360-81J0T.jpg|16|rainbow
51|28785|28785|28785|My Little Pony Crystal Princess: The Runaway Rainbow|37886.0||2006.0|GBA|https://www.giantbomb.com/a/uploads/original/10/103881/2168687-cover.jpg|1396|silver
52|30648|30648|30648|My Little Pony: Pinkie Pie's Party|21074.0||2008.0|DS|https://www.giantbomb.com/a/uploads/original/1/11423/738878-pinkiepiespart.jpg|2670|silver
53|35910|35910|35910|Go Diego Go! Animal Rescuer|26061.0||2005.0|LEAP|https://www.giantbomb.com/a/uploads/original/0/4647/962828-leapster12.jpg|50|rainbow
54|15733|15733|15733|CoComelon: Play with JJ|88103.0||2022.0|NSW|https://www.giantbomb.com/a/uploads/original/16/165036/3431528-cc1.jpg|5897|silver
55|29083|29083|29083|Disney's Little Einsteins|84518.0||2006.0|GBA|https://www.giantbomb.com/a/uploads/original/13/135472/3336075-76490_front.jpg|1396|silver
56|33786|33786|33786|The Backyardigans: Viking Voyage|21571.0|2006.0||VSML|https://www.giantbomb.com/a/uploads/original/0/1013/204618-backyardigans.jpg|37|rainbow
57|35919|35919|35919|The Backyardigans|26071.0|2006.0||LEAP|https://www.giantbomb.com/a/uploads/original/0/4647/962838-leapster23.jpg|50|rainbow
58|19219|19219|19219|Bob the Builder: Festival of Fun|22234.0|||PS2, Wii, DS|https://www.giantbomb.com/a/uploads/original/8/87790/2987927-box_btbfof.png|3534|silver
59|20425|20425|20425|Bob the Builder|64279.0||2007.0|PS2|https://www.giantbomb.com/a/uploads/original/8/87790/2987921-box_btb.png|3534|silver
60|32604|32604|32604|Bob the Builder: Fix it Fun!|36442.0|2001.0||GBC|https://www.giantbomb.com/a/uploads/original/8/87790/2988445-box_btbfif.png|772|gold
61|11265|11265|11265|PJ Masks: Heroes of the Night|85568.0|||PC, XONE, PS4, NSW, STAD|https://www.giantbomb.com/a/uploads/original/7/79650/3351079-untitled-design-2021-10-30t135756.265.jpg|6126|silver
62|17664|17664|17664|PJ Masks: Time to be a Hero|79681.0|||LPAD|https://www.giantbomb.com/a/uploads/original/46/462814/3218726-6716551819-81oeH.jpg|16|rainbow
63|3791|3791|3791|Ultimate Marvel vs. Capcom 3|35938.0||2011.0|X360, PS3, XBGS, PC, VITA, PSNV, XONE, PS4|https://www.giantbomb.com/a/uploads/original/8/87790/2986592-box_umvc3.png|6126|silver
64|21150|21150|21150|Marvel vs. Capcom 3: Fate of Two Worlds|30944.0||2011.0|X360, PS3|https://www.giantbomb.com/a/uploads/original/8/87790/1856048-box_mvc3.png|1737|silver
65|17799|17799|17799|Street Fighter III: 3rd Strike|1615.0||1999.0|PS2, XBOX, DC, ARC, XBGS, PS3N|https://www.giantbomb.com/a/uploads/original/0/2130/811708-sfiii3s_arcade_flyer.jpg|3534|silver
